jid,statecode,year_end,variable,value
751,MN,2017,children_native_parents,1025000
752,MO,2017,children_native_parents,1241000
753,MS,2017,children_native_parents,669000
754,MT,2017,children_native_parents,215000
755,NC,2017,children_native_parents,1818000
756,ND,2017,children_native_parents,158000
757,NE,2017,children_native_parents,389000
758,NH,2017,children_native_parents,225000
759,NJ,2017,children_native_parents,1178000
760,NM,2017,children_native_parents,379000
761,NV,2017,children_native_parents,408000
762,NY,2017,children_native_parents,2538000
763,OH,2017,children_native_parents,2334000
764,OK,2017,children_native_parents,820000
765,OR,2017,children_native_parents,648000
766,PA,2017,children_native_parents,2261000
767,RI,2017,children_native_parents,148000
768,SC,2017,children_native_parents,955000
769,SD,2017,children_native_parents,194000
770,TN,2017,children_native_parents,1284000
771,TX,2017,children_native_parents,4661000
772,US,2017,children_native_parents,53365000
773,UT,2017,children_native_parents,757000
774,VA,2017,children_native_parents,1390000
775,VT,2017,children_native_parents,108000
776,WA,2017,children_native_parents,1130000
777,WI,2017,children_native_parents,1120000
778,WV,2017,children_native_parents,353000
779,WY,2017,children_native_parents,124000
780,AK,2015,children_unknown_parents,5000
781,AL,2015,children_unknown_parents,24000
782,AR,2015,children_unknown_parents,21000
783,AZ,2015,children_unknown_parents,48000
784,CA,2015,children_unknown_parents,199000
785,CO,2015,children_unknown_parents,22000
786,CT,2015,children_unknown_parents,16000
787,DC,2015,children_unknown_parents,3000
788,DE,2015,children_unknown_parents,-97
789,FL,2015,children_unknown_parents,97000
790,GA,2015,children_unknown_parents,55000
791,HI,2015,children_unknown_parents,9000
792,IA,2015,children_unknown_parents,13000
793,ID,2015,children_unknown_parents,7000
794,IL,2015,children_unknown_parents,50000
795,IN,2015,children_unknown_parents,34000
796,KS,2015,children_unknown_parents,16000
797,KY,2015,children_unknown_parents,28000
798,LA,2015,children_unknown_parents,23000
799,MA,2015,children_unknown_parents,24000
800,MD,2015,children_unknown_parents,26000
801,ME,2015,children_unknown_parents,6000
802,MI,2015,children_unknown_parents,47000
803,MN,2015,children_unknown_parents,20000
804,MO,2015,children_unknown_parents,34000
805,MS,2015,children_unknown_parents,19000
806,MT,2015,children_unknown_parents,4000
